lineup_key,archetype_lineup,possessions,minutes,points,fga_2pt,fga_3pt,fgm_2pt,fgm_3pt,ftm,fta,pts_2pt,pts_3pt,pts_ft,ast,tov,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_ft,pct_pts_off_tov,pct_pts_paint
0_0_3_5_5,0_0_3_5_5,1535,767.5,502,192,0,192,0,0,0,384,0,0,0,0,1.0,502,32.703583061889255,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_5_5,0_0_0_5_5,2263,1131.5,631,213,0,213,0,0,0,426,0,0,0,0,1.0,631,27.883340698188245,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_2_5,0_0_0_2_5,7272,3636.0,2228,828,0,828,0,0,0,1656,0,0,0,0,1.0,2228,30.63806380638064,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_5,0_0_0_0_5,6238,3119.0,1869,657,0,657,0,0,0,1314,0,0,0,0,1.0,1869,29.961526130169926,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_3,0_0_0_0_3,2960,1480.0,912,344,0,344,0,0,0,688,0,0,0,0,1.0,912,30.810810810810814,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_2_3,0_0_0_2_3,3632,1816.0,992,364,0,364,0,0,0,728,0,0,0,0,1.0,992,27.312775330396477,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_3_5_7,0_1_3_5_7,1708,854.0,557,212,0,212,0,0,0,424,0,0,0,0,1.0,557,32.61124121779859,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_5_5,0_3_3_5_5,1230,615.0,386,151,0,151,0,0,0,302,0,0,0,0,1.0,386,31.382113821138212,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_3_5_5_7,1_3_5_5_7,466,233.0,165,70,0,70,0,0,0,140,0,0,0,0,1.0,165,35.407725321888414,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_3_5_5,0_1_3_5_5,2823,1411.5,943,339,0,339,0,0,0,678,0,0,0,0,1.0,943,33.40417995040737,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_3_7,0_0_1_3_7,543,271.5,137,45,0,45,0,0,0,90,0,0,0,0,1.0,137,25.23020257826888,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_5_5_7,0_3_5_5_7,89,44.5,21,8,0,8,0,0,0,16,0,0,0,0,1.0,21,23.595505617977526,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_3_3,0_2_3_3_3,1221,610.5,373,135,0,135,0,0,0,270,0,0,0,0,1.0,373,30.548730548730546,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_7_7,0_0_3_7_7,4041,2020.5,1095,392,0,392,0,0,0,784,0,0,0,0,1.0,1095,27.097253155159613,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
