,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_rep[4842],-0.0269808,0.0230639,1.02558,1.02095,-1.72303,-0.0358551,1.65168,1982.19,1863.38,75.8733,1.00123
y_rep[4843],-0.034581,0.0230613,0.992654,1.03253,-1.65099,-0.0212257,1.58477,1883.48,1808.51,72.095,0.999481
y_rep[4844],0.129108,0.0227759,0.993839,1.01757,-1.51894,0.137809,1.73493,1917.96,1883.76,73.4147,1.00074
y_rep[4845],-0.0187829,0.0221253,0.986914,0.993944,-1.59723,-0.0273604,1.60831,1990.46,2048.06,76.1897,1.0005
y_rep[4846],-0.0819456,0.0222998,1.03146,1.01582,-1.77736,-0.0720542,1.59279,2154.03,1923.28,82.4509,0.999894
y_rep[4847],0.0582025,0.0229074,1.02304,1.01949,-1.56627,0.0419112,1.74683,2002.86,1891.3,76.6646,0.999494
y_rep[4848],-0.103154,0.0219539,0.985135,1.00218,-1.72675,-0.0956941,1.47367,2026.2,1869.81,77.5578,0.999658
y_rep[4849],-0.0541791,0.0220543,1.01982,0.986958,-1.77263,-0.06159,1.61477,2147.99,2047.38,82.2198,1.00178
y_rep[4850],-0.0366331,0.0219072,1.00772,0.981177,-1.72246,0.0090272,1.57877,2120.54,2144.02,81.1689,1.00059
y_rep[4851],-0.0610608,0.0226375,0.997927,1.03192,-1.76195,-0.0409212,1.5236,1954.58,1888.86,74.8165,0.999639
y_rep[4852],0.0863584,0.0241446,1.03308,1.00567,-1.57545,0.0498862,1.79422,1831.44,1742.77,70.1031,1.00056
y_rep[4853],-0.102173,0.0226212,0.980612,0.973993,-1.74051,-0.0674558,1.49607,1897.73,1925.21,72.6402,0.999838
y_rep[4854],0.130159,0.0226559,1.00263,1.00813,-1.55937,0.140358,1.72538,1964.07,2051.19,75.1799,1.00046
y_rep[4855],-0.100738,0.0225697,1.02616,1.07075,-1.71505,-0.0940743,1.63165,2070.74,2024.87,79.2628,0.999746
y_rep[4856],-0.0690112,0.0249059,1.00741,1.009,-1.69784,-0.0824015,1.65036,1641.14,1825.35,62.8187,1.00064
y_rep[4857],-0.0269711,0.0221298,0.980786,0.968544,-1.66572,-0.0258806,1.63344,1986.8,1965.44,76.0496,1.0007
y_rep[4858],0.0152482,0.0221938,0.985116,0.971245,-1.62724,0.0207473,1.61917,1964.97,1812.07,75.2143,1.00046
y_rep[4859],-0.069022,0.0246817,1.02281,1.0286,-1.76926,-0.0690994,1.60076,1749.99,1965.54,66.9851,1.00171
y_rep[4860],0.141004,0.0230493,1.00212,1.03132,-1.4925,0.149913,1.7752,1911.23,1792.54,73.157,1.00015
y_rep[4861],-0.312491,0.0235976,1.02733,1.023,-1.95159,-0.350397,1.40457,1905.56,1925.61,72.9403,1.00059
y_rep[4862],0.0571426,0.0233959,1.01531,1.00204,-1.63162,0.073884,1.66712,1918.55,1754.46,73.4372,1.00052
y_rep[4863],0.0798871,0.0237744,0.995299,0.997615,-1.55894,0.0477831,1.69846,1745.86,1814.98,66.8272,1.00185
y_rep[4864],0.0361529,0.0234162,1.01963,1.02632,-1.64235,0.0190873,1.73748,1902.23,1902.14,72.8126,1.00007
y_rep[4865],-0.0143546,0.0243762,1.00866,0.990455,-1.68449,0.00509764,1.64861,1749.22,1902.79,66.9559,1.00092
y_rep[4866],-0.0626949,0.0219749,0.995496,0.983564,-1.75633,-0.036227,1.54285,2055.07,1788.24,78.663,1.00059
y_rep[4867],-0.0192201,0.024904,0.991074,1.0008,-1.6634,-0.0164422,1.59601,1567.79,1816.77,60.0109,1.00367
y_rep[4868],0.00177071,0.0225814,1.03187,1.02944,-1.68868,-0.00359078,1.71587,2078.67,1964.47,79.5662,1.00134
y_rep[4869],0.00569876,0.0215074,0.988786,0.960329,-1.65011,0.0429593,1.61477,2110.65,1839.63,80.7905,0.999724
y_rep[4870],0.0251725,0.0225688,1.0233,1.02748,-1.64211,0.0114856,1.76953,2056.54,1926.23,78.7192,1.00065
y_rep[4871],0.112869,0.0225794,1.01019,0.998979,-1.50469,0.117655,1.7322,2005.32,2045.74,76.7588,1.00114
y_rep[4872],-0.138418,0.02329,0.996641,0.989403,-1.7531,-0.14223,1.48473,1833.3,1936.95,70.1742,0.999477
y_rep[4873],-0.0195799,0.0211419,0.993706,0.981597,-1.64713,-0.0451088,1.61142,2210.99,1997.29,84.631,1.0006
y_rep[4874],-0.0385022,0.0226905,1.00438,0.991399,-1.67506,-0.0146624,1.64665,1985.97,1937.51,76.0179,1.00069
y_rep[4875],-0.0269514,0.0221561,0.99543,0.987146,-1.68678,-0.000788966,1.54451,2028.7,1965.01,77.6535,0.999715
y_rep[4876],0.0830211,0.0226441,1.02207,1.00996,-1.54938,0.0658707,1.82287,2041.22,1885.44,78.1329,1.00027
y_rep[4877],-0.0210244,0.0220634,1.00098,1.01709,-1.70752,-0.0229376,1.60942,2061.36,1853.55,78.9039,1.0021
y_rep[4878],-0.0260992,0.0237008,1.00243,1.01114,-1.67151,-0.041039,1.63664,1816.32,1891.42,69.5242,0.999808
y_rep[4879],0.12561,0.0233442,1.03728,1.00891,-1.63855,0.138972,1.82194,1988.02,1786.05,76.0965,1.00005
y_rep[4880],0.16741,0.0214753,0.988066,0.940798,-1.41292,0.169222,1.84638,2133.27,1847.03,81.6564,0.99969
y_rep[4881],-0.0887192,0.0224906,1.02326,1.04037,-1.72289,-0.109403,1.58054,2075.33,1994.49,79.4384,1.00071
y_rep[4882],0.0599818,0.0221549,0.99292,1.00659,-1.61369,0.0662204,1.65607,2014.41,1857.15,77.1067,0.999645
y_rep[4883],0.0381922,0.021987,0.993085,1.02604,-1.5652,0.05582,1.65769,2046.54,1887.32,78.3365,1.00019
y_rep[4884],-0.0150021,0.0230608,1.00739,1.00124,-1.72324,0.00118603,1.61752,1922.62,2004.15,73.5932,0.999054
y_rep[4885],-0.0478585,0.0227635,1.0037,0.976853,-1.66462,-0.0316719,1.58479,1960.02,1690.69,75.0248,0.999382
y_rep[4886],-0.0118317,0.0238421,1.02683,1.04665,-1.73035,-0.0244001,1.64294,1868.83,2003.47,71.5342,1.00019
y_rep[4887],-0.00932192,0.0228199,0.995341,0.961654,-1.69696,0.017577,1.5971,1928.17,1953.79,73.8055,0.999621
y_rep[4888],0.0587793,0.02315,1.00307,1.02197,-1.60696,0.0586318,1.69937,1885.99,1924.61,72.1911,0.999804
y_rep[4889],-0.0488615,0.0227209,1.02031,1.03801,-1.66107,-0.0508813,1.66253,2020.62,1937.03,77.3445,1.0003
y_rep[4890],-0.0442884,0.0224934,1.01073,0.961495,-1.67744,-0.0484668,1.59291,2022.97,1747.69,77.4344,1.00016
y_rep[4891],-0.0792256,0.0249322,1.02238,1.03682,-1.76431,-0.0799543,1.59108,1702.08,1790.38,65.1514,1.00058
y_rep[4892],0.0824744,0.0229197,0.987361,0.973487,-1.53859,0.0910128,1.71542,1875.88,1819.96,71.8039,1.00266
y_rep[4893],0.143462,0.022137,1.001,1.01076,-1.50448,0.153934,1.78194,2077.49,1924.8,79.5213,1.00078
y_rep[4894],0.0309661,0.024231,1.01588,1.02708,-1.62616,0.048744,1.63144,1767.79,1899.44,67.6668,1.00121
y_rep[4895],-0.193438,0.0228159,0.96201,0.972115,-1.72235,-0.192739,1.37447,1792.5,2005.39,68.6124,0.999801
y_rep[4896],0.0401144,0.0222769,0.996711,0.994383,-1.60253,0.0388136,1.69404,2001.08,1948.35,76.5963,1.00108
y_rep[4897],0.163652,0.0233152,1.01224,1.02055,-1.51595,0.170046,1.79045,1896.66,2031.44,72.5995,0.999286
y_rep[4898],0.0189605,0.0218893,1.01676,1.01516,-1.65371,0.0371396,1.65176,2158.08,1964.36,82.606,0.999645
y_rep[4899],-0.027926,0.0233996,1.00903,0.986717,-1.64623,-0.0558151,1.64545,1868.66,1900.83,71.5277,0.99997
y_rep[4900],0.0845313,0.0210199,0.970199,0.960635,-1.51571,0.0544661,1.66515,2125.57,1991.6,81.3615,1.00148
y_rep[4901],0.101047,0.0217266,0.958984,0.940927,-1.50573,0.0797146,1.65971,1953.19,2006.49,74.7631,0.999153
y_rep[4902],-0.0970876,0.0224685,0.988913,0.96537,-1.68004,-0.11693,1.54983,1970.7,1726.24,75.4337,0.999157
y_rep[4903],-0.0107562,0.0233904,1.00376,0.977731,-1.67637,-0.0165051,1.6187,1847.9,2009.17,70.7329,1.00219
y_rep[4904],0.12492,0.0206901,0.999289,1.00592,-1.52316,0.132931,1.74928,2323.33,2093.37,88.9313,0.999793
y_rep[4905],-0.122146,0.0214737,0.993409,0.990427,-1.74415,-0.126405,1.5842,2149.75,2096.33,82.2872,0.999889
y_rep[4906],-0.216027,0.0235483,1.01079,0.994891,-1.87501,-0.219648,1.4287,1850.82,1840.88,70.8447,1.00028
y_rep[4907],-0.0216161,0.0227025,0.984567,0.998298,-1.57746,-0.024632,1.6488,1882.33,1888.63,72.0508,0.999704
y_rep[4908],-0.0599399,0.0225927,1.00622,0.992726,-1.69416,-0.0560548,1.57483,2021.04,2008.3,77.3605,1.00002
y_rep[4909],0.0953125,0.0226811,1.00424,1.0228,-1.57406,0.0891352,1.75974,1961.75,1925.72,75.0909,1.00051
y_rep[4910],0.0646584,0.0232196,1.00832,1.01807,-1.61003,0.0592671,1.72724,1894.05,1637.76,72.4997,1.00054
y_rep[4911],0.165019,0.0223655,0.994139,0.987594,-1.4606,0.162833,1.81446,1975.19,1964.61,75.6054,1.00024
y_rep[4912],-0.152959,0.0229079,1.02806,1.01918,-1.84001,-0.148711,1.60451,2010.08,1794.88,76.9407,1.00022
y_rep[4913],-0.0256283,0.0234007,1.00053,1.00938,-1.67058,-0.0132061,1.60828,1849.15,1937.17,70.781,1.0001
y_rep[4914],-0.121151,0.0234433,0.983818,0.983736,-1.72038,-0.133935,1.49955,1737.62,1762.81,66.5116,1.00128
y_rep[4915],-0.0623181,0.0231343,1.04191,1.00813,-1.78445,-0.0607662,1.69693,2050.78,1754.67,78.4989,1.00023
y_rep[4916],0.0284372,0.0223891,1.02961,1.0434,-1.64909,0.0339908,1.6989,2120.63,2007.62,81.1725,0.999712
y_rep[4917],0.12499,0.0227404,1.01481,1.02851,-1.57361,0.148953,1.7796,1979.58,1799.29,75.7735,1.0015
y_rep[4918],-0.217551,0.0240703,1.01669,1.00536,-1.95043,-0.221986,1.45195,1724.84,1926.23,66.0224,1.00198
y_rep[4919],0.156173,0.0222868,0.990816,0.99763,-1.4183,0.163315,1.80391,1983.69,1782.54,75.9305,0.999579
y_rep[4920],0.0602623,0.0237314,1.01945,1.04042,-1.61728,0.058337,1.70659,1865.98,1853.95,71.4252,1.00124
y_rep[4921],0.0132874,0.0227747,1.00399,0.9997,-1.6114,-0.0172155,1.71085,1958.8,1841.75,74.9779,1.00055
y_rep[4922],0.123141,0.0229109,1.0098,0.998189,-1.50207,0.0844939,1.78059,1949.64,1887.76,74.6275,0.999533
y_rep[4923],-0.0224105,0.0228704,0.979244,0.977254,-1.5979,-0.0448919,1.58165,1842.65,1884.59,70.5319,0.999273
y_rep[4924],-0.0358404,0.0240841,0.993252,0.99382,-1.65918,-0.0407928,1.60873,1732.02,2050.48,66.2974,0.999758
y_rep[4925],-0.0274247,0.0249444,1.00534,0.996756,-1.68774,-0.0475335,1.63227,1665.77,1840.43,63.7614,1.00074
y_rep[4926],0.0517423,0.0230316,1.00873,1.00414,-1.58391,0.0245699,1.78221,1921.38,1843.35,73.5458,1.00121
y_rep[4927],-0.00784798,0.0235194,0.988769,1.01826,-1.55511,-0.0217741,1.64351,1817.98,2072.86,69.5878,1.00155
