# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-16 14:16:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpc0pyra35/kjk5akbg.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpc0pyra35/bayesian_model_k8usjzha9m/bayesian_model_k8-20251016101616.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.00615695
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
699.56791,0.94988767,0.0061569545,9,511,0,-694.44742,0.17236795,0.020810278,0.00017381985,0.0042266616,0.013111869,0.0023834093,0.00037321132,0.016399273,0.013625393,0.1283388,0.0059485765,0.0012400753,0.031345022,0.0023062905,0.0035868121,0.0094205071,0.0065871755,0.55800587
697.97282,0.86339397,0.0061569545,8,511,0,-685.02822,0.17170417,0.027300566,0.00074289819,0.0068112059,0.021304547,0.0089910918,0.0024356449,0.011571976,0.008519927,0.14121543,0.0068170168,0.0026555919,0.015327211,0.0016465959,0.0046064226,0.0088452372,0.013899761,0.56990124
707.54477,0.99856479,0.0061569545,9,511,0,-694.16916,0.19314576,0.018171465,0.001474041,0.0025872876,0.079177502,0.0014876356,0.007241704,0.0052836725,0.012011665,0.073573954,0.003942132,0.0069352243,0.020722269,0.004088554,0.0046723318,0.0068837947,0.0049641071,0.56064029
701.75314,0.90361105,0.0061569545,8,255,0,-696.87156,0.19044366,0.06043595,0.00065396218,0.0027642717,0.059867831,0.00071991614,0.013170514,0.0071936807,0.0095110563,0.083529651,0.012809417,0.00170977,0.017952634,0.012236597,0.0057144687,0.019433794,0.0070530557,0.56600764
697.5847,0.88866361,0.0061569545,9,511,0,-690.07968,0.1963902,0.0018255875,0.00045782632,0.0050361571,0.010035384,0.0027164675,0.0017883261,0.0063052414,0.009647282,0.050790565,0.0052466993,0.018772073,0.10394153,0.00075051872,0.0023202123,0.0020618488,0.0020828431,0.55762963
700.08348,0.99446146,0.0061569545,9,511,0,-693.17146,0.18998578,0.0049529707,0.0010797577,0.0046090024,0.0082740085,0.0014771746,0.0023202733,0.0067462355,0.0095610661,0.21454743,0.019641747,0.0057764773,0.08586087,0.00065756276,0.0024859298,0.0033431434,0.0019076207,0.55927795
701.04432,0.86133299,0.0061569545,8,511,0,-691.634,0.19584604,0.0030268727,0.00039955086,0.0049156167,0.011678666,0.0060232941,0.012856505,0.014808875,0.0094505572,0.078206955,0.0066065315,0.01309915,0.059186553,9.4668716e-05,0.0032286112,0.011499306,0.0028719093,0.55611341
703.42026,0.99905406,0.0061569545,8,511,0,-696.21614,0.19253741,0.0043865834,0.00071571958,0.0057326117,0.014712154,0.0053320262,0.011462509,0.013180203,0.01336574,0.1209769,0.0039949133,0.016531171,0.060885417,5.7137947e-05,0.0024238753,0.013702204,0.006508758,0.56074724
701.83764,0.88500871,0.0061569545,9,511,0,-695.30409,0.18023437,0.0061475864,0.00058951893,0.0057225246,0.014382456,0.007408506,0.008532536,0.0078118329,0.013920347,0.16761876,0.00219162,0.0071808455,0.068600899,6.9755105e-05,0.0017583859,0.0077353826,0.0079166833,0.5604658
700.61709,0.94293247,0.0061569545,9,511,0,-694.94159,0.19476145,0.021781964,0.00055388551,0.0023184858,0.0043899256,0.0017021922,0.0083090836,0.0090886191,0.0059621079,0.060849417,0.00061305461,0.015467911,0.18711577,0.00011118023,0.0013581548,0.0085828199,0.0074903386,0.55952831
704.27051,0.73189616,0.0061569545,9,511,0,-690.57866,0.17760009,0.017408836,0.0010559594,0.0029277281,0.11720627,0.0028619671,0.0049437674,0.0031060692,0.012234486,0.16110296,0.0052295548,0.0086912364,0.016105486,0.0042829871,0.0014804527,0.0021249989,0.007154906,0.55722154
705.07888,0.99577816,0.0061569545,9,511,0,-696.0568,0.2023063,0.0092492683,0.0014837235,0.0048750245,0.0042237216,0.0046162029,0.015909656,0.019557271,0.011728799,0.096791431,0.0048528327,0.012648952,0.082208015,0.0034586827,0.0021501095,0.0015154822,0.0064243262,0.56046426
700.94105,0.96776161,0.0061569545,9,511,0,-697.5049,0.17889054,0.045202582,0.0069442977,0.0045828686,0.022488206,0.0014746785,0.0032019465,0.0023708766,0.0018422894,0.06763912,0.016521976,0.007592279,0.015569501,0.0061135221,0.0025733768,0.0027150366,0.0061512684,0.56259905
