matchup_id,beta_0,beta_off_0,beta_def_0,beta_off_1,beta_def_1,beta_off_2,beta_def_2,beta_off_3,beta_def_3,beta_off_4,beta_def_4,beta_off_5,beta_def_5,beta_off_6,beta_def_6,beta_off_7,beta_def_7
17,9.4293179085e-05,1.13883385295e-05,6.656612453e-05,9.6955415195e-06,5.52443936875e-05,1.021111984525e-05,8.06487901425e-05,1.0224321223750001e-05,1.698314885675e-05,1.0736551703500002e-05,2.7326107182500003e-05,6.242727643249999e-06,1.0817447096750002e-05,8.69882261175e-05,0.0001038584793325,3.0193985192500002e-05,2.0248721823000002e-05
18,4.313633506350001e-05,1.441625971875e-05,2.97682851175e-05,1.5008832982249999e-05,6.6896927594999995e-06,2.5152668532499998e-05,3.5230195750000004e-05,6.68321623675e-06,8.36776713075e-06,6.553859467500001e-06,7.8901425345e-06,1.1738923086249999e-05,2.06506320275e-05,1.8429572005,1.90635836075e-05,2.32240873825e-05,6.5373635685e-05
19,0.6742963009,0.20616133879999998,1.7095688115,1.174210166675,1.694384953725,0.3281814095,0.5235304046000001,0.170621097975,1.3004498251749999,3.341320975,0.378543842575,0.17491076212499998,0.392853030375,0.534522169175,2.37894137225,2.42031837475,0.00314333597035
20,1.2020041676750001e-05,4.75805766e-06,2.1913234464250002e-05,2.229574608375e-05,6.070159676000001e-06,1.4076797457e-05,1.5321330898e-05,1.5911454204499997e-05,1.560137560275e-05,3.99198781425e-06,4.3184459855e-06,1.249506563975e-05,3.8690291851e-06,1.1444808770250001,1.9822961845e-05,1.6625978341e-05,6.656424438249999e-06
21,-1.6771545477e-05,8.17364840775e-06,3.9908086859000005e-05,2.2945920447500003e-05,1.2719169561000001e-05,2.0827945897499998e-05,2.6114219119999998e-05,7.18913255575e-06,6.983907646599999e-06,1.500564957825e-05,3.4566258461500006e-05,8.18208556975e-06,1.3605978734000002e-05,4.22475156975,3.3133855747500003,3.7046960105e-05,7.269264557800001e-06
22,-1.4497735970499998e-05,1.2848969767750001e-05,2.6795614457499998e-05,7.5138959155e-05,1.928831529475e-05,6.15403919275e-05,5.277182911249999e-05,2.4557320217999996e-05,2.5521611929249997e-05,1.4760181127250001e-05,4.0432604892499996e-05,3.8184145037499994e-05,1.25525379575e-05,3.9931281549250004,4.18488457025e-05,4.05389682125e-05,2.077109573325e-05
23,6.689497495750001e-05,8.24250812275e-06,0.00010743122182499999,8.195705845249999e-05,4.67293315475e-05,1.850763611875e-05,3.1663386274999994e-05,2.542524436375e-05,2.0550695530500004e-05,1.3791157157e-05,3.977211446e-05,3.3996151224999995e-05,1.9200760363500003e-05,0.7265820582750001,6.192749347e-05,3.9214043045e-05,5.04582951075e-05
24,2.32612930965555e-05,2.469493192e-05,1.2621032202999998e-05,7.44404733825e-06,6.663567388499999e-06,7.449311595499999e-05,2.83524158525e-05,7.80489828625e-06,9.503780839e-06,5.98412254225e-06,9.96328767175e-06,7.04084761325e-06,6.545743150000001e-06,1.138170619125e-05,1.2445846845999999e-05,3.346194742775e-05,1.3026045614e-05
25,-1.3781745659249998,0.19837234457500003,2.0760570974999997,3.6858251914999998,1.12191330595,3.6326171654,0.7847460584000001,0.478902114325,0.34361050829999995,3.86683463425,0.625450187125,2.02317699975,1.0299334172999999,1.122946034775,1.5842178389250001,3.7013841020000005,2.9948537658250003
26,-0.00010262040169974999,2.8052269394999996e-05,7.11472042425e-06,2.598769138575e-05,3.35432632725e-05,3.114720103325e-05,8.7253149235e-06,8.471994049499999e-06,1.1731920369499998e-05,6.205017482725001e-05,2.8171644375e-05,4.2135756974e-06,8.985279742749999e-06,1.99811448345e-05,3.59712676865e-05,1.484278522425e-05,4.1328770257499996e-05
