,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[620],1.46781,0.332453,1.05131,0.769901,-0.0772306,1.5101,2.68799,5.0,5.0,357.143,0.916188
y_pred[621],1.04582,0.358514,1.00254,1.27527,-0.143233,0.932121,2.46977,5.0,5.0,357.143,0.913955
y_pred[622],1.49191,0.36213,1.14516,1.05264,0.132063,1.11458,3.29376,5.0,5.0,357.143,0.935851
y_pred[623],0.62548,0.345088,1.09126,1.39861,-0.847618,0.875311,1.92371,5.0,5.0,357.143,1.20562
y_pred[624],0.89245,0.233915,0.739704,0.584036,0.0831648,0.74393,2.11198,5.0,5.0,357.143,1.18184
y_pred[625],1.3102,0.335563,1.06114,1.3406,0.161187,1.30211,2.93875,5.0,5.0,357.143,0.901743
y_pred[626],0.786389,0.365756,1.15662,0.95,-0.761439,0.556394,2.44039,5.0,5.0,357.143,1.0093
y_pred[627],1.26878,0.272408,0.861429,0.41541,0.296192,1.21889,2.63578,5.0,5.0,357.143,1.05945
y_pred[628],0.912781,0.306783,0.970132,0.889276,-0.380047,0.981728,2.36479,5.0,5.0,357.143,1.05945
y_pred[629],0.84476,0.332999,1.00485,1.31349,-0.408436,1.06297,1.99702,5.0,5.0,357.143,1.05408
y_pred[630],0.68893,0.255572,0.80819,0.864548,-0.212896,0.564949,1.98821,5.0,5.0,357.143,1.21289
y_pred[631],1.00058,0.321761,1.0175,1.3513,-0.370842,1.11434,2.1333,5.0,5.0,357.143,0.973134
y_pred[632],1.43535,0.3214,0.898687,0.532132,0.147693,1.57204,2.60905,5.0,5.0,357.143,1.10712
y_pred[633],1.00378,0.384067,1.21453,1.43665,-0.753658,1.1222,2.50667,5.0,5.0,357.143,0.935851
y_pred[634],0.82906,0.316408,1.00057,1.15451,-0.523215,0.593284,2.05605,5.0,5.0,357.143,1.06438
y_pred[635],0.61182,0.200848,0.635138,0.533809,-0.365634,0.684873,1.39474,5.0,5.0,357.143,1.07282
y_pred[636],1.31875,0.41869,1.20127,1.2782,-0.333432,1.37434,2.91493,5.0,5.0,357.143,1.26581
y_pred[637],1.04098,0.296148,0.936501,0.824311,-0.348603,1.05245,2.24673,5.0,5.0,357.143,1.13894
y_pred[638],0.555174,0.383547,1.21288,0.878923,-1.03959,0.554895,2.25739,5.0,5.0,357.143,0.914508
y_pred[639],0.34631,0.411942,1.21272,1.24591,-1.50378,0.571224,1.81403,5.0,5.0,357.143,0.932323
y_pred[640],0.80356,0.233715,0.739072,0.87578,-0.315501,0.932419,1.69386,5.0,5.0,357.143,0.956389
y_pred[641],0.579279,0.395503,1.25069,1.07299,-0.976098,0.490133,2.4919,5.0,5.0,357.143,0.90253
y_pred[642],0.787123,0.235394,0.74438,0.653264,-0.324836,0.874326,1.73659,5.0,5.0,357.143,1.30896
y_pred[643],1.66721,0.300623,0.950653,0.88577,0.554482,1.50783,3.14586,5.0,5.0,357.143,1.11552
y_pred[644],0.354199,0.465678,1.13422,1.23129,-0.819687,0.162365,2.07388,5.0,5.0,357.143,1.02346
y_pred[645],0.84302,0.214958,0.679757,0.703327,-0.144755,0.9508,1.6091,5.0,5.0,357.143,1.0093
y_pred[646],0.476537,0.295787,0.886094,0.7096,-0.319471,0.165799,1.92512,5.0,5.0,357.143,1.4156
y_pred[647],0.496045,0.335419,1.06069,0.676986,-1.13667,0.651415,1.42676,5.0,5.0,357.143,1.18184
y_pred[648],1.21592,0.322517,0.820891,0.60628,0.132909,1.19035,2.36771,5.0,5.0,357.143,1.30127
y_pred[649],0.734347,0.296166,0.93656,0.52774,-0.712451,0.755307,1.74597,5.0,5.0,357.143,0.945309
y_pred[650],1.03566,0.274503,0.868054,0.834053,-0.0770869,0.912153,2.31674,5.0,5.0,357.143,0.933467
y_pred[651],1.21054,0.373746,1.18189,1.08049,-0.536869,1.10653,2.8514,5.0,5.0,357.143,0.918082
y_pred[652],1.64777,0.277388,0.877176,0.865884,0.449082,1.66109,2.91176,5.0,5.0,357.143,0.974576
y_pred[653],1.16632,0.268521,0.849138,0.84614,0.0227395,1.23841,2.3671,5.0,5.0,357.143,1.13188
y_pred[654],1.23543,0.178309,0.563862,0.393635,0.413688,1.20879,2.04865,5.0,5.0,357.143,0.923285
y_pred[655],1.41027,0.398406,1.25987,1.19623,-0.292306,1.63052,3.19172,5.0,5.0,357.143,1.21289
y_pred[656],1.28081,0.423192,1.33825,0.630378,-0.765023,1.59999,2.94935,5.0,5.0,357.143,1.4156
y_pred[657],0.775674,0.449364,1.42102,1.12175,-1.51915,1.11981,2.32547,5.0,5.0,357.143,1.0018
y_pred[658],1.46293,0.230367,0.728483,0.867613,0.650477,1.23757,2.54055,5.0,5.0,357.143,1.0018
y_pred[659],0.641826,0.488673,1.02391,1.49253,-0.697115,0.31218,2.06801,5.0,5.0,357.143,1.78943
y_pred[660],0.791246,0.436829,1.03384,1.1874,-0.397282,0.729004,2.23043,5.0,5.0,357.143,1.21289
y_pred[661],-0.156852,0.297403,0.940472,1.20512,-1.40776,-0.194347,0.95782,5.0,5.0,357.143,1.03528
y_pred[662],-0.243552,0.349127,1.10404,1.2065,-1.49097,-0.429247,1.34689,5.0,5.0,357.143,0.940624
y_pred[663],-0.0421808,0.325946,1.03073,0.955283,-1.25731,-0.242197,1.57349,5.0,5.0,357.143,1.4156
y_pred[664],-0.0309847,0.294643,0.931742,1.1802,-1.39605,-0.0744491,1.08533,5.0,5.0,357.143,1.07282
y_pred[665],0.103897,0.397374,1.25661,1.19672,-1.80244,0.0595779,1.72523,5.0,5.0,357.143,1.11662
y_pred[666],0.280773,0.351508,1.11157,0.85681,-1.42589,0.522879,1.64581,5.0,5.0,357.143,1.05909
y_pred[667],-0.0409244,0.384989,1.21744,1.02144,-1.81942,0.0191726,1.58394,5.0,5.0,357.143,1.10475
y_pred[668],-0.233132,0.243318,0.711492,0.787325,-1.20149,-0.14099,0.788676,5.0,5.0,357.143,1.10397
y_pred[669],-0.459488,0.362136,1.11689,1.04946,-2.00983,-0.463612,0.961453,5.0,5.0,357.143,1.05945
y_pred[670],0.159744,0.412345,1.30395,0.770427,-1.15223,-0.141933,2.27372,5.0,5.0,357.143,1.10475
y_pred[671],-0.266655,0.281902,0.891452,0.88814,-1.44754,-0.141135,0.923487,5.0,5.0,357.143,1.07279
y_pred[672],-0.740701,0.300605,0.906002,0.478032,-1.95188,-0.799369,0.620071,5.0,5.0,357.143,1.26581
y_pred[673],-0.666277,0.265026,0.838085,0.561726,-2.03173,-0.28963,0.09951,5.0,5.0,357.143,0.969725
y_pred[674],-0.510022,0.30683,0.970281,0.66922,-2.06529,-0.228597,0.471616,5.0,5.0,357.143,0.913684
