player_id,player_name,WINGSPAN,CSFGA,CS3PA,AVGDIST,SIXTto3PTr
1631111,Wendell Moore Jr.,,1.0,0.9,,
1631114,Jalen Williams,,3.3,3.2,,
1631115,Orlando Robinson,,1.5,1.1,,
1631116,Patrick Baldwin Jr.,,0.7,0.7,,
1631117,Walker Kessler,,0.6,0.6,,
1631119,Jaylin Williams,,3.4,3.1,,
1631120,JD Davison,,0.8,0.8,,
1631121,Bryce McGowens,,0.2,0.2,,
1631123,Jamaree Bouyea,,0.6,0.6,,
1631124,Julian Strawther,,3.3,3.3,,
1631127,Harrison Ingram,84.25,0.4,0.2,,
1631128,Christian Braun,,2.3,2.2,,
1631131,Oscar Tshiebwe,,0.4,,,
1631132,Christian Koloko,,0.1,0.1,,
1631133,Jabari Walker,,1.3,1.2,,
1631157,Ryan Rollins,,1.8,1.8,,
1631159,Leonard Miller,,0.3,0.3,,
1631165,Keon Ellis,,3.4,3.3,,
1631166,Drew Timme,,4.6,3.4,,
1631169,Josh Minott,,0.9,0.9,,
1631170,Jaime Jaquez Jr.,,1.5,1.5,,
1631172,Ousmane Dieng,,1.6,1.5,,
1631197,Jared Rhoden,,2.4,2.4,,
1631199,Ron Harper Jr.,,6.0,6.0,,
1631200,Kris Murray,,1.5,1.5,,
1631204,Marcus Sasser,,1.1,1.0,,
1631207,Dalen Terry,,1.4,1.3,,
1631209,Isaiah Wong,,0.9,0.8,,
1631210,Jacob Toppin,,0.5,0.5,,
1631212,Peyton Watson,,2.0,1.9,,
1631213,Tyrese Martin,,3.9,3.9,,
1631214,Alondes Williams,,1.0,1.0,,
1631216,Caleb Houstan,,2.6,2.6,,
1631217,Moussa Diabaté,,0.2,0.1,,
1631218,Trayce Jackson-Davis,,0.0,0.0,,
1631221,Collin Gillespie,,1.9,1.9,,
1631222,Jake LaRavia,,1.8,1.7,,
1631223,David Roddy,,1.5,1.5,,
1631230,Dominick Barlow,,1.1,0.8,,
1631232,Keion Brooks Jr.,,3.0,2.9,,
1631243,Mouhamed Gueye,,2.6,2.4,,
1631245,Quenton Jackson,,0.9,0.9,,
1631246,Vince Williams Jr.,,2.9,2.8,,
1631247,Luke Travers,,0.6,0.6,,
1631248,Baylor Scheierman,80.25,2.2,2.1,,
1631250,Pete Nance,,1.8,1.7,,
1631255,Karlo Matković,,1.8,1.6,,
1631260,AJ Green,,3.8,3.7,,
1631288,Jamal Cain,,1.8,1.8,,
1631301,Jaylen Sims,,1.8,1.8,,
1631303,Justin Minaya,,0.5,0.5,,
1631306,Cole Swider,,3.8,3.7,,
1631311,Lester Quinones,,2.2,2.2,,
1631321,Sidy Cissoko,,0.5,0.5,,
1631323,Simone Fontecchio,,2.7,2.6,,
1631342,Daeqwon Plowden,,2.8,2.8,,
1631386,Tazé Moore,,1.5,1.5,,
1631466,Nate Williams,,1.2,1.2,,
1641705,Victor Wembanyama,,6.7,5.8,,
1641706,Brandon Miller,,7.1,7.1,,
1641707,Taylor Hendricks,,3.7,3.7,,
1641708,Amen Thompson,,1.4,1.1,,
1641709,Ausar Thompson,,0.7,0.7,,
1641710,Anthony Black,,1.9,1.8,,
1641711,Gradey Dick,,4.9,4.6,,
1641712,Rayan Rupert,,0.9,0.8,,
1641713,GG Jackson,,2.8,2.7,,
1641715,Cam Whitmore,,2.0,1.9,,
1641716,Jarace Walker,,1.7,1.6,,
1641717,Cason Wallace,,2.7,2.7,,
1641718,Keyonte George,,3.7,3.6,,
1641720,Jalen Hood-Schifino,,1.2,1.1,,
1641721,Maxwell Lewis,,1.3,1.2,,
1641722,Jordan Hawkins,,4.3,4.2,,
1641723,Kobe Bufkin,,1.4,1.4,,
1641724,Jett Howard,,2.4,2.4,,
1641725,Trey Alexander,82.5,0.6,0.6,,
1641726,Dereck Lively II,,0.1,,,
1641727,Dariq Whitehead,,3.2,3.2,,
1641729,Brice Sensabaugh,,3.9,3.8,,
1641730,Noah Clowney,,5.2,5.2,,
1641731,Bilal Coulibaly,,3.2,3.1,,
1641732,Colby Jones,,0.9,0.8,,
1641733,Nick Smith Jr.,,3.8,3.8,,
1641734,Emoni Bates,,2.3,2.1,,
