outcome,matchup_id,season,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,0_vs_0,2020-21,0.0,0.0,-0.3220419898,0.0,0.0,0.0,0.0,1.468896434,0.22225158090000002,-2.112547964,0.0,0.0,0.1163567183,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,2.534797827,1.491491182,0.0,1.1755223029000001,0.0,0.0,-1.0408015449,2.635669952,0.1383984546,1.980460557,1.046318007,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,1.491491182,0.0,0.023185325600000084,0.0,0.0,1.44495251742,0.237538337,0.6475146192,1.980460557,4.5140784652,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,-2.068694151,1.0139409106000001,0.0,0.684075913,-0.8482051902,0.0,0.73700596424,1.7232024058000002,3.90288514,0.0,0.0,0.0,0.0,0.0
1,0_vs_0,2021-22,0.0,0.0,-0.3220419898,1.1195800188,0.0,0.7744203446,0.0,2.674998443,0.15922866039999994,-1.534472109,1.270674629,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,-0.5919039467,1.588904355,0.0,0.0,0.0,0.0,-0.7932170797,1.815740668,-2.645270119,1.263074309,0.0,-0.03428146409,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,-1.198195711,1.760307971,-0.002184882201,0.0,0.0,0.9167703746,-1.647584536,0.0,1.940846353,1.427153112,-0.5081905728,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,4.905330146000001,0.0,0.3832158922,0.0,0.0,0.0,-1.78866115338,-0.6916565041,0.0,0.7340509247,0.0,0.7779023424,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,-0.87162994492,0.0,0.0,0.0,0.0,0.40246633076,-1.9014750665999998,0.0,1.462334067,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,-0.3220419898,-1.172198807,0.0,0.0,0.0,0.4384659785,1.5878688470000002,0.857634853,1.270674629,1.80534818,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.734141317,2.203179397,1.760307971,0.0,0.0,0.0,0.6730983673,0.9041574695,-1.492911616,0.0,1.427153112,3.8006306499999996,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7273850299099999,-0.24254034899999993,0.6475146192,1.665030462,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,-0.4069722496,0.0,-0.7624166927,-1.293378178,0.0,-0.03598208930000002,-2.4115138739999997,0.6475146192,0.0,0.7306319792,0.7981498716,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,3.528963947,0.0,-0.5514470789,0.0,0.0,0.0,-0.6478860466,0.18746991570000004,0.0,0.0,0.0,0.1709883229,0.0,-1.611277475
0,0_vs_0,2021-22,0.0,0.0,1.802930067,1.491491182,5.910199074,0.684075913,0.0,0.0,0.8128156651,2.8732082890000004,0.0,0.0,-0.06955347373,0.8380816088,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.303190019,0.0,0.0,0.0,0.03956845106,2.110154668,-0.7878632552,1.4517232213,0.0,1.272101288,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.026905446,0.0,1.278490602,0.0,0.0,0.0,1.0804984271,-0.86870014192,-0.2516871077,2.670093626,0.0,0.0,0.0,-1.611277475
0,0_vs_0,2018-19,0.0,0.0,4.2187327658,1.6763216736,0.0,0.0,0.0,0.0,0.16809480049999997,0.8767187630000001,-0.0959669926,1.665030462,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.5850480710000001,-0.1588613833,1.278490602,1.71823735,0.0,0.0,-1.395432566,-1.3371426758,-0.2906957068,1.117324131,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,-1.347330275,0.0,-2.853162593,-0.4300102647,0.0,2.1775867518,1.8342548323,0.0,0.0,-0.4108766507
0,0_vs_0,2021-22,0.0,0.0,1.734141317,-0.9401100733,1.760307971,-0.002184882201,0.0,0.0,-0.3508215341,0.0,-1.492911616,1.940846353,1.427153112,-0.5081905728,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.3562812704,-2.1311669847,0.0,-0.6914236331,0.0,-0.1653595235,-1.7858079981000001,0.4927628994,-1.879335528,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,2.203179397,0.0,0.05649434992,0.0,0.0,-3.0641336089999998,0.0,0.0,2.299245726,1.8342548323,5.0269860379999995,0.3201615095,0.0
0,0_vs_0,2020-21,0.0,0.0,1.6203072217999999,0.0,2.499929555,0.0,0.0,0.14881089410000004,0.658153524,-1.0340272197,0.0,0.1697903533,-0.4858837598,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,-0.7535639352,0.0,-0.1320067374,0.0,0.9765850071,-0.9751778746,0.9118709934,0.1383984546,0.0,0.5292377145,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,3.318608654,1.022887041,0.0,0.0,0.0,0.0,-1.4489698715,1.3775063908,1.270674629,0.0,0.0,0.0,0.0,-0.6020900213
0,0_vs_0,2021-22,0.0,0.0,1.644140245,-0.885230185,-0.08107110597,0.0,0.0,0.01563642169,0.0,-1.032420543,-1.349542594,1.80534818,0.7971674373000001,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.732534442,0.0,2.499929555,0.0,0.0,0.0,0.658153524,1.5500159403,-0.2918253846,2.3826418350000003,-0.4858837598,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,-0.9329712737,1.760307971,0.5855156079999999,0.0,-0.2921285405,0.75328786486,-0.8909254043,0.0,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958195804899999,-0.24254034899999993,-0.3582567354,1.665030462,3.783446486,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,-0.5597673852,0.0,0.0,-1.172195575,0.0,0.2060542838,-1.27257476,-0.5812654185999999,0.0,1.359733597,1.8342548323,0.0,0.0,0.0
3,0_vs_0,2021-22,0.0,0.0,0.0,-0.5158605452,0.0,-1.092226161,0.0,0.0,1.44495251742,2.1411410662,-0.3582567354,2.194636819,4.5140784652,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.734141317,1.1195800188,1.760307971,0.7744203446,0.0,2.674998443,-0.3508215341,0.001013154549,-1.492911616,0.0,1.427153112,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,0.5039705933,1.897252553,0.0,0.0,5.10991632,0.0,-1.875304586,-1.4303696635,0.0,0.1697903533,0.0,0.0,0.0,-1.611277475
0,0_vs_0,2020-21,0.0,0.0,1.651962287,-0.4069722496,0.0,0.0,0.0,0.0,-0.1260146841,0.8020414566,-1.349542594,-0.3942460874,0.9948236216,0.7981498716,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.87700166,0.9922599147000001,-0.5514470789,-0.6352138466,-2.3145605412,0.0,-2.861234543,0.2556916575,0.0,2.753353532,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,2.531575269,-1.198195711,0.0,-1.8151742421,3.8042071304999996,1.260853738,-1.3229678605,1.539213914,0.0,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,2.154256949,-0.6576877317,5.320449392,0.0,-1.597216136,0.5065297017,0.9729488829,-0.7255860877,0.0,0.0,0.0,0.0,-1.212015754,-0.3878318935
0,0_vs_0,2021-22,0.0,0.0,0.1917994358,0.0,0.0,1.189121348,5.10991632,0.0,0.9167703746,1.82899559168,0.0,1.989443999,-0.1256797324,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,-2.6666029152,0.0,0.0,0.0,0.0,0.0,0.0,2.5820877961999997,0.4850293202,0.663183834,-0.1256797324,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,2.043829311,0.0,-1.877806164,-1.089283872,0.0,2.438213622,-0.5525929178000002,-0.3106287726,0.0,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.5850480710000001,-1.2740531731,0.0,0.0,0.0,0.0,1.0804984271,0.07242920519999996,0.0,0.663183834,-1.3326755,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.468896434,-0.78600203809,-1.3274583340000001,0.0,0.0,3.3458433578999998,-0.2769029982,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.3562812704,1.491491182,0.0,0.5146317155000002,0.0,0.0,-1.9272272864,0.237538337,2.941484319,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,-1.172198807,1.760307971,0.0,0.0,0.14881089410000004,0.32227683319999995,-1.014431328,0.0,0.9942281211,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.026905446,-0.6747219285,0.0,1.71823735,0.5780372449,0.0,-0.6725423994,0.0,0.0,1.5486496728999999,-0.2991071525,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.159445987,0.0,5.320449392,-1.172195575,0.0,0.0,0.6072756904400001,-0.19980093759999995,0.0,1.359733597,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.9153655215,1.8767936571,0.0,0.0,0.0,0.02511290876,2.2577327732,0.2589593652,-0.3582567354,0.0,0.7306319792,0.0,0.0,-0.6020900213
0,0_vs_0,2020-21,0.0,0.0,0.0,1.827230238,0.0,1.189121348,0.0,0.01563642169,-1.9255318630999998,-2.0251508672,-1.492911616,0.0,0.0,0.0,-1.9944660116,0.0
0,0_vs_0,2021-22,0.0,0.0,3.528963947,-1.151352677,-1.14987052,-1.172195575,-0.4610963846,0.2060542838,-0.8345030411,0.40108345,0.0,0.0,0.0,0.0,0.0,0.0
3,0_vs_0,2018-19,0.0,0.0,0.21063867709999995,0.0,-1.221937979,0.0,0.0,-3.467220726,0.8279922986,1.095139098,0.0,1.263074309,-2.175364912,0.241371178,0.0,-0.04465925469
0,0_vs_0,2020-21,0.0,0.0,1.734141317,0.9922599147000001,0.0,-0.6352138466,0.0,0.0,0.01939107219999997,0.2556916575,0.0,2.753353532,1.427153112,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.651962287,1.491491182,-0.8097927046,0.5146317155000002,0.0,0.0,-0.4545155989,0.0,-1.349542594,0.0,0.9948236216,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,4.330959986,2.0679951264,0.0,-0.42354551968,0.0,0.0,-0.9469737438000001,0.0,-0.0959669926,0.0,0.0,0.0,-0.7788690732,-0.3624702958
0,0_vs_0,2021-22,0.0,0.0,3.3137029360000003,-2.1311669847,-1.221937979,-1.8151742421,0.0,-0.1653595235,-0.07580970086,0.0,0.1431979423,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,1.491491182,5.910199074,0.4914463899,0.0,0.0,0.8128156651,2.8732082890000004,-0.6513372505,0.0,-1.226139509,0.8380816088,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,-0.31758425249999966,0.0,0.0,0.0,0.0,-0.2896550844,0.2584390274,0.551517720783,0.0,1.1931751323,0.0,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,1.952439638,0.8841819879,0.0,0.0,0.0,0.0,-0.21396147559999995,-0.4300102647,-0.7129473189,1.110540547,0.0,0.0,-1.090776039,-0.1868604821
0,0_vs_0,2020-21,0.0,0.0,0.0,-1.490444852,1.760307971,0.0,0.0,0.0,0.6138846136,-2.58120704,0.0,0.0,1.427153112,0.7707913069,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,2.534797827,1.18086661,0.0,0.0,0.0,0.0,-2.0946217319000002,1.725192271,0.0,2.3826418350000003,1.046318007,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.7683978684,0.0,0.6584670111,-0.2266902759,3.979587118,0.0,-0.2359123783,0.004616131483,-0.9312139008,1.80534818,0.0,-0.1418905942,0.0,0.0
2,0_vs_0,2021-22,0.0,0.0,2.534797827,1.491491182,0.0,1.1755223029000001,0.0,0.0,-1.0408015449,2.635669952,0.1383984546,1.980460557,1.046318007,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.732534442,1.18086661,2.499929555,0.0,0.0,2.110154668,0.658153524,-0.4838362037,0.0,0.0,-1.4443328229999999,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,-0.1122272202,-0.4069722496,0.0,0.0,-2.5293987639999997,0.0,-0.6364191703,-1.6171393386,0.0,-1.188086983,0.0,0.0,0.0,0.0
1,0_vs_0,2021-22,0.0,0.0,-0.5597673852,-0.9401100733,0.0,-0.002184882201,0.0,0.0,-1.27257476,0.0,0.0,1.940846353,1.8342548323,-0.5081905728,0.3201615095,0.0
0,0_vs_0,2018-19,0.0,0.0,2.373754877,-1.1790892978,0.0,0.684075913,-0.6482422445,0.0,-0.8115078852,2.1470656658,0.0,0.0,0.3867612538,0.0,-1.864969841,0.0
0,0_vs_0,2021-22,0.0,0.0,0.9153655215,-1.023117418,0.0,-2.621990715,0.0,0.0,-0.84876234508,2.563384673,-0.3582567354,2.194636819,-0.4376031281,0.0,0.0,0.0
2,0_vs_0,2021-22,0.0,0.0,0.46839890389999994,-1.064121332,0.0,-0.1431203434,0.5780372449,1.584356975,-0.9250485279,-0.4484433274,0.0,0.5796725415,0.0,0.0,0.0,0.0
1,0_vs_0,2018-19,0.0,0.0,0.0,0.5674780770000001,0.0,0.0,-2.492533432,0.0,-6.2594912715,-1.0219300613,0.0,0.0,0.7306319792,0.7707913069,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,-0.7449333723,0.0,-0.42354551968,4.010188229,0.0,0.8334372375000002,0.9041574695,0.0,0.0,0.987543846,3.517201191,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.5102454769,0.0,0.0,-1.172195575,0.5780372449,0.0,-0.9497726073,-1.274666085,-0.657391177,0.870105986,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.558142625,0.9704326192,0.0,0.0,0.0,0.5905008681,-0.5674402674,-1.3488625892,-1.122253883,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,1.588904355,0.0,0.0,0.0,0.0,2.5044294481,2.0243791357,0.026352150599999985,1.263074309,0.0,0.0,0.0,0.0
3,0_vs_0,2020-21,0.0,0.0,3.7033006004,1.588904355,0.0,0.0,0.0,0.0,0.9754927678,2.0243791357,0.0,1.263074309,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,1.18086661,0.0,0.0,0.0,2.110154668,-1.7274630984,1.725192271,-0.4513506188,1.272101288,-0.2991071525,0.0,0.0,0.0
2,0_vs_0,2020-21,0.0,0.0,0.9153655215,0.0,0.0,0.0,-1.293378178,0.0,-0.82151309788,-2.7595399485199996,0.0,1.136982847,3.783446486,0.0,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,-0.2342755847,2.0679951264,0.0,0.05649434992,0.0,0.0,0.3044239178,0.0,1.230504869,2.299245726,2.558693571,3.517201191,-0.7850148873,0.0
0,0_vs_0,2021-22,0.0,0.0,3.318608654,-1.107653743,0.0,-0.002184882201,0.0,0.0,1.5878688470000002,-0.4898574206,0.0,-0.2204131499,0.0,-0.5081905728,0.0,0.0
0,0_vs_0,2018-19,0.0,0.0,0.0,2.0455945936799997,-1.212130555,0.0,0.0,-0.7489958685,1.8733000929,0.9041574695,0.0,0.5796725415,0.0,0.0,0.0,0.0
3,0_vs_0,2020-21,0.0,0.0,-0.9877923649,-0.6576877317,-1.221937979,0.0,0.0,0.0,-0.6105740399,1.4891610981999999,-0.4461845806,1.445213571,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,3.3262894833,0.8331312209999999,-0.8583441332,-0.1431203434,0.0,0.0,0.08018949756,0.0,0.01832957985,2.3601878755,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.3562812704,1.491491182,0.0,1.1755223029000001,0.9581185837,0.0,-0.6360854564,2.635669952,2.941484319,0.0,0.0,0.8380816088,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.9153655215,-0.9065225738,0.0,0.0,0.0,0.0,1.4774049786999999,-2.657910181,-0.3582567354,0.3662598601,0.0,-0.2476704038,0.0,0.0
