archetype_lineup,WFGMPercUAST,WFGMPercAST,WThreeFGMPercUAST,WThreeFGMPercAST,WTwoFGMPercUAST,WTwoFGMPercAST,WPercPTSPITP,WPercPTSOffTO,WPercPTSFT,WPercPTSFBPS,WPercPTS3PT,WPercPTSMR,WPercPTS2PT,WPercFGA3PT,WPercFGA2PT,WOppTORATIOpercent,WOppFTARATE,WPACE,total_minutes,archetype_count
-1_-1_-1_1_2,0.05007751937984496,0.0662015503875969,0.015503875968992248,0.10077519379844961,0.058992248062015494,0.05728682170542635,0.05096899224806201,0.015968992248062017,0.021046511627906973,0.009612403100775194,0.03217054263565891,0.012093023255813953,0.06313953488372093,0.04624031007751938,0.07003875968992247,0.016821705426356588,0.04294573643410853,11.97751937984496,25.8,3
-1_-1_-1_1_3,0.0226890756302521,0.06134453781512605,0.03361344537815126,0.050420168067226885,0.018655462184873947,0.0653781512605042,0.04285714285714286,0.00773109243697479,0.012016806722689075,0.002605042016806723,0.025714285714285714,0.0034453781512605044,0.04630252100840336,0.023445378151260507,0.060588235294117644,0.007478991596638655,0.020504201680672268,8.55546218487395,11.9,1
-1_-1_0_0_0,0.07426098535286285,0.13878828229027965,0.033981358189081226,0.16575233022636487,0.09515312916111851,0.11790945406125168,0.09603195739014647,0.03930758988015979,0.027576564580559258,0.029560585885486025,0.07994673768308923,0.00952063914780293,0.1055525965379494,0.0955392809587217,0.11750998668442077,0.035286284953395475,0.04856191744340879,21.901597869507324,75.1,16
-1_-1_0_0_1,0.055775217932752176,0.11234433374844334,0.022425280199252804,0.14569738480697386,0.07459526774595268,0.09352428393524284,0.07082503113325031,0.02782378580323786,0.023689290161892904,0.026232876712328768,0.06594956413449564,0.007683686176836862,0.0785024906600249,0.07475716064757161,0.09336550435865505,0.024315068493150686,0.03686176836861768,17.310834371108342,321.2,54
-1_-1_0_0_2,0.052896475770925114,0.12331497797356827,0.013964757709251102,0.16224669603524228,0.06823788546255506,0.10797356828193833,0.08030837004405286,0.026123348017621145,0.03091409691629956,0.029625550660792952,0.054581497797356826,0.010440528634361233,0.09071585903083701,0.06966960352422907,0.10654185022026431,0.028094713656387667,0.04559471365638766,17.800330396475772,90.8,16
-1_-1_0_0_3,0.06099726775956284,0.1165983606557377,0.025013661202185792,0.15258196721311476,0.07453551912568306,0.10306010928961748,0.07125683060109289,0.033961748633879775,0.03312841530054644,0.017814207650273223,0.060683060109289616,0.012527322404371585,0.0837568306010929,0.07728142076502732,0.10031420765027323,0.030040983606557374,0.0389207650273224,17.404098360655738,73.2,13
-1_-1_0_1_1,0.0762526766595289,0.09505353319057816,0.029218415417558884,0.14208779443254818,0.09405781584582441,0.07724839400428266,0.0776017130620985,0.025931477516059957,0.028672376873661667,0.019914346895074944,0.053565310492505354,0.011477516059957173,0.08906852248394005,0.06750535331905781,0.10381156316916487,0.023276231263383296,0.047173447537473226,17.3644539614561,93.4,16
-1_-1_0_1_2,0.044378843788437886,0.10322263222632226,0.019520295202952034,0.12808118081180814,0.058277982779827806,0.08932349323493236,0.05920049200492005,0.027060270602706032,0.023985239852398525,0.015153751537515376,0.0545510455104551,0.009864698646986471,0.06906519065190653,0.06897908979089791,0.07862238622386224,0.022952029520295205,0.03004920049200492,15.024477244772449,81.3,12
-1_-1_0_1_3,0.048346645367412136,0.08744408945686902,0.020886581469648564,0.1148961661341853,0.05990415335463259,0.07587859424920128,0.05936102236421725,0.02492811501597444,0.018043130990415334,0.018250798722044728,0.04547124600638977,0.012891373801916932,0.07225239616613417,0.05154153354632588,0.08424920127795527,0.01792332268370607,0.029808306709265178,13.258945686900958,125.2,17
-1_-1_0_2_2,0.04429184549356223,0.08446351931330473,0.00613733905579399,0.12261802575107297,0.06356223175965665,0.0651931330472103,0.04918454935622317,0.024463519313304722,0.009184549356223176,0.014163090128755365,0.05145922746781116,0.018969957081545065,0.06811158798283262,0.04948497854077253,0.07927038626609442,0.016952789699570817,0.01879828326180257,13.486266094420602,23.3,3
