outcome,matchup_id,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
7,0_vs_0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.92,0.53,-2.9299999999999997,1.0,1.97,1.92,-1.49,1.47
0,0_vs_0,0.0,0.0,-2.44,0.0,0.0,0.0,0.0,0.0,0.8,-1.04,-0.67,1.27,-1.03,-1.91,0.0,-1.6600000000000001
0,0_vs_0,0.0,0.0,-2.99,-0.36,0.0,0.0,0.0,0.0,0.0,-2.49,-1.94,0.0,0.29,-0.37,-0.07,0.7
0,0_vs_0,0.0,0.0,0.07,-0.59,0.65,0.0,0.0,0.0,3.21,0.010000000000000009,0.0,1.93,2.18,0.0,-0.08,1.86
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,-0.87,0.0,0.0,0.55,-1.38,-1.28,0.0,-0.51,-2.63,0.96,-0.29
0,0_vs_0,0.0,0.0,-1.04,0.5,0.63,3.1100000000000003,0.0,0.0,-0.46,-0.73,0.39,0.0,0.0,0.0,-0.62,0.0
0,0_vs_0,0.0,0.0,-1.72,0.0,0.0,3.54,0.0,0.0,1.6,0.0,-1.54,0.0,0.29,0.77,0.0,2.46
4,0_vs_0,0.0,0.0,0.0,0.0,-1.58,0.49,0.0,0.0,0.0,0.45000000000000007,0.21,-1.24,1.59,0.0,-1.64,1.44
0,0_vs_0,0.0,0.0,0.0,-0.77,0.63,0.0,0.0,0.0,0.0,0.07,0.0,1.43,-1.16,-1.38,-1.9,-0.15
7,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,1.37,-2.99,-1.18,1.13,0.0,0.0,-0.37,0.0
0,0_vs_0,0.0,0.0,-2.79,0.0,0.06,0.65,0.0,0.0,0.0,1.4500000000000002,0.0,0.35,1.8,0.0,-0.48,-0.89
0,0_vs_0,0.0,0.0,0.0,0.0,-1.68,1.4,0.0,0.0,2.28,-1.32,0.0,0.0,0.0,-0.18,-3.51,3.71
0,0_vs_0,0.0,0.0,0.0,0.51,-0.1,3.54,0.0,0.0,5.58,-0.16,0.0,0.0,0.0,0.94,-0.63,1.2
0,0_vs_0,0.0,0.0,0.0,0.09,2.9099999999999997,0.0,0.0,0.0,3.21,-1.16,-0.64,0.0,0.0,0.0,-0.08,0.11999999999999994
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,5.24,0.0,-0.51,0.0,0.86,0.0,0.28,1.3499999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.55,-0.48,-1.28,0.0,-0.51,0.0,0.5900000000000001,1.7599999999999998
2,0_vs_0,0.0,0.0,-1.52,0.0,-0.1,1.43,0.0,0.0,3.39,-0.51,-0.16,0.0,-1.02,0.08,0.0,-0.17
0,0_vs_0,0.0,0.0,0.0,0.0,-1.28,3.54,0.0,0.0,3.88,-0.32,0.0,0.0,0.54,0.0,-0.9800000000000001,1.64
0,0_vs_0,0.0,0.0,0.0,-1.0399999999999998,0.63,0.0,0.0,0.0,0.0,0.0,-4.22,0.51,0.26,-0.47,-1.16,-1.39
27,0_vs_0,0.0,0.0,1.52,0.0,0.0,-0.87,0.0,0.0,6.18,-2.49,-0.15,0.0,0.0,-1.52,-0.39,2.26
0,0_vs_0,0.0,0.0,-0.55,0.73,-0.25,0.0,0.0,0.0,1.53,0.0,0.0,-0.22,0.0,-0.48,-0.62,-2.26
0,0_vs_0,0.0,0.0,-1.58,0.24,0.0,0.0,0.0,0.0,0.55,1.35,-1.28,1.47,1.8,0.0,1.44,-0.89
2,0_vs_0,0.0,0.0,0.0,0.0,0.63,1.22,0.0,0.0,2.26,-1.85,0.0,0.0,0.0,0.0,-0.69,-0.06000000000000005
0,0_vs_0,0.0,0.0,-0.81,0.0,0.0,0.0,0.0,0.0,6.71,-1.38,-1.48,0.83,0.54,-1.11,0.0,1.9699999999999998
0,0_vs_0,0.0,0.0,0.0,0.51,-0.67,0.0,0.0,0.0,4.27,-1.04,0.0,2.55,0.0,0.0,-1.39,0.79
0,0_vs_0,0.0,0.0,0.0,0.0,0.03,3.1100000000000003,0.0,0.0,5.24,-0.73,0.0,0.0,0.0,-0.48,0.27,0.0
0,0_vs_0,0.0,0.0,-0.23,0.0,0.0,0.67,0.0,0.0,3.81,-1.98,0.25,1.13,0.06,0.0,-1.19,-0.17
0,0_vs_0,0.0,0.0,0.0,1.14,0.51,1.8199999999999998,0.0,0.0,3.25,-0.98,0.0,-0.51,-0.57,0.0,0.49000000000000005,0.0
0,0_vs_0,0.0,0.0,-0.92,-0.44,0.06,0.33,0.0,0.0,0.0,-1.06,0.0,0.0,-1.53,-0.21,1.44,0.0
14,0_vs_0,0.0,0.0,0.0,0.0,-1.51,-0.87,0.0,0.0,7.76,-1.64,0.0,0.0,0.0,-1.52,-0.99,-0.41
0,0_vs_0,0.0,0.0,0.0,0.41,0.63,0.0,0.0,0.0,2.26,0.0,0.0,1.45,0.0,0.0,-1.76,0.0
24,0_vs_0,0.0,0.0,0.15,1.13,0.0,0.0,0.0,0.0,4.54,0.0,-1.72,1.07,0.0,0.08,-1.08,-1.36
0,0_vs_0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,3.88,1.0,-3.34,0.87,0.54,0.0,-0.9800000000000001,0.79
0,0_vs_0,0.0,0.0,-0.28,0.0,2.9099999999999997,0.0,0.0,0.0,5.15,-0.32999999999999996,-0.64,0.0,0.0,-0.54,0.0,1.86
0,0_vs_0,0.0,0.0,-2.79,0.0,0.06,0.0,0.0,0.0,0.0,-0.32999999999999996,0.0,1.93,-0.51,-0.98,-0.48,0.74
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,-0.97,0.0,0.0,0.0,0.46,-1.2000000000000002,-1.71
0,0_vs_0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,2.83,-0.78,1.46,0.0,0.0,0.0,0.2,0.43999999999999995
0,0_vs_0,0.0,0.0,-0.06,0.0,0.0,3.1100000000000003,0.0,0.0,-1.55,-0.11,0.0,0.0,-1.18,0.0,-2.59,-0.58
0,0_vs_0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,-0.01,-0.11,0.8,1.35,-1.41,0.0,-0.9,-0.58
0,0_vs_0,0.0,0.0,0.0,1.3199999999999998,0.0,0.0,0.0,0.0,5.24,-0.62,-2.32,0.0,0.0,-0.48,0.99,0.1
29,0_vs_0,0.0,0.0,0.67,1.5,0.51,0.0,0.0,0.0,3.25,-0.36,0.0,0.0,-0.57,1.7,0.55,1.95
0,0_vs_0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.98,-1.32,-1.16,0.0,0.0,-0.18,-0.8,2.6599999999999997
3,0_vs_0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,3.87,-0.97,-3.34,0.0,0.0,0.0,-0.9800000000000001,0.5999999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,3.25,-0.32999999999999996,0.0,0.0,0.07000000000000006,0.44,0.55,2.6
2,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,3.81,-1.32,0.08,-0.52,-0.38,0.0,-2.64,-0.6900000000000001
24,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,6.7,-0.62,-1.48,0.0,0.0,0.0,-0.9,1.99
9,0_vs_0,0.0,0.0,0.83,0.0,0.0,0.67,0.0,0.0,5.27,-1.01,-0.41,0.0,-0.77,0.0,1.07,-1.01
0,0_vs_0,0.0,0.0,0.0,-0.5,0.0,1.96,0.0,0.0,4.7299999999999995,-1.19,-0.43,0.0,0.0,0.0,-0.05999999999999983,-0.8
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,7.619999999999999,-3.46,-1.0,0.0,0.0,-1.38,0.0,0.0
